geneko	mediaws	media	addtlCpd	growth
fig|208964.1.peg.1144	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1145	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1146	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1147	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1148	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1149	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.115	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1150	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1151	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1152	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1153	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1154	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1155	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1156	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1157	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1158	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1159	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.116	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1160	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1161	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1162	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1163	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1164	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1165	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1166	KBaseMedia	ArgonneLBMedia		0
fig|208964.1.peg.1167	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1168	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1169	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.117	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1170	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1171	KBaseMedia	ArgonneLBMedia		1
fig|208964.1.peg.1172	KBaseMedia	ArgonneLBMedia		1
